STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,LON,LAT
30166,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,40850,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"(41.876862, -87.628196)",-87.628196,41.876862
30286,Harrison (95th-bound),Harrison,41490,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.874039, -87.627479)",-87.627479,41.874039
30285,Harrison (Howard-bound),Harrison,41490,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.874039, -87.627479)",-87.627479,41.874039
30157,Illinois Medical District (O'Hare-bound),Illinois Medical District,40810,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.875706, -87.673932)",-87.673932,41.875706
30158,Illinois Medical District (Forest Pk-bound),Illinois Medical District,40810,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.875706, -87.673932)",-87.673932,41.875706
30059,Indiana (63rd-bound),Indiana,40300,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.821732, -87.621371)",-87.621371,41.821732
30058,Indiana (Harlem-bound),Indiana,40300,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.821732, -87.621371)",-87.621371,41.821732
30282,Irving Park (Loop-bound),Irving Park,41460,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.954521, -87.674868)",-87.674868,41.954521
30107,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,40550,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.952925, -87.729229)",-87.729229,41.952925
30108,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,40550,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.952925, -87.729229)",-87.729229,41.952925
30281,Irving Park (Kimball-bound),Irving Park,41460,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.954521, -87.674868)",-87.674868,41.954521
30014,Jackson/Dearborn (O'Hare-bound),Jackson,40070,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.878183, -87.629296)",-87.629296,41.878183
